127.0.0.1 - - [20/Jan/2020:09:28:27 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:28:28 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:28:28 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:28:28 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:28:28 +0530] "GET /MyFirstWebProject/image/paris.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:29:59 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 5245
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:29:59 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:30:00 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:30:00 +0530] "GET /MyFirstWebProject/image/paris.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:32:09 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:32:09 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:32:09 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:32:09 +0530] "GET /MyFirstWebProject/image/paris.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:24 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:24 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:26 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:43:26 +0530] "GET /MyFirstWebProject/image/paris.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:48:18 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:48:18 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:48:20 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:50:46 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:50:46 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:50:47 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:50:47 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 200 5704
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:33 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:33 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:33 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:33 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:54 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:54 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:55 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:52:55 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:00:13 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:00:14 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:00:14 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:00:14 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
